acronym,expansion,anchor_sentence
RF,regression function,"Apart from using RF for quantile regression forest , we shall use RF for feature importance and partial dependence plots ( PDP ) ."
RF,regression forest,"Quantile Random Forest ( QRF)Conventional RF predict values in individual leaf node , which is considered as the sample mean in the leaf node ."
RF,register file,FU and one RF are connected to the buses .
HS,hourly - similarity,"Compared with all - in - one models , the HS - based models present better performance except for the SVM , based on ( as shown in bold red ) ."
HS,horn and schunck,The HS method is a pioneering technique optical flow .
HS,hierarchical softmax,"Training is carried out until near convergence ( ) , the randomly initialized HS and Sampled Softmax of which take longer ( [ 55 - 80 ] ) ."
VSM,vector space model,"table*[ht]threeparttableResults for Multi - label Music Genre Classification of Albumstbl : resultstabularlccccccccModality & Target & Settings & Params & Time & AUC & C@1 & C@3 & C@5 Audio & logistic & timbre - mlp & 0.01 M & 1s & 0.792 & 0.04 & 0.14 & 0.22 Audio & logistic & low-3x3 & 0.5 M & 390s & 0.859 & 0.14 & 0.34 & 0.54 Audio & logistic & high-3x3 & 16.5 M & 2280s & 0.840 & 0.20 & 0.43 & 0.69 Audio & logistic & low-4x96 & 0.2 M & 140s & 0.851 & 0.14 & 0.32 & 0.48 Audio & logistic & high-4x96 & 5 M & 260s & 0.862 & 0.12 & 0.33 & 0.48 Audio & logistic & low-4x70 & 0.35 M & 200s & 0.871 & 0.05 & 0.16 & 0.34 Audio & logistic & high-4x70 & 7.5 M & 600s & 0.849 & 0.08 & 0.23 & 0.38 Audio & cosine & low-3x3 & 0.33 M & 400s & 0.864 & 0.26 & 0.47 & 0.65 Audio & cosine & high-3x3 & 15.5 M & 2200s & 0.881 & 0.30 & 0.54 & 0.69 Audio & cosine & low-4x96 & 0.15 M & 135s & 0.860 & 0.19 & 0.40 & 0.52 Audio & cosine & high-4x96 & 4 M & 250s & 0.884 & 0.35 & 0.59 & 0.75 Audio & cosine & low-4x70 & 0.3 M & 190s & 0.868 & 0.26 & 0.51 & 0.68 Audio ( A ) & cosine & high-4x70 & 6.5 M & 590s & 0.888 & 0.35 & 0.60 & 0.74 Text & logistic & VSM & 25 M & 11s & 0.905 & 0.08 & 0.20 & 0.37 Text & logistic & VSM+Sem & 25 M & 11s & 0.916 & 0.10 & 0.25 & 0.44 Text & cosine & VSM & 25 M & 11s & 0.901 & 0.53 & 0.44 & 0.90 Text ( T ) & cosine & VSM+Sem & 25 M & 11s & 0.917 & 0.42 & 0.70 & 0.85 Image ( I ) & logistic & ResNet & 1.7 M & 4009s & 0.743 & 0.06 & 0.15 & 0.27 A + T & logistic & mlp & 1.5 M & 2s & 0.923 & 0.10 & 0.40 & 0.64 A + I & logistic & mlp & 1.5 M & 2s & 0.900 & 0.10 & 0.38 & 0.66 T + I & logistic & mlp & 1.5 M & 2s & 0.921 & 0.10 & 0.37 & 0.63 A + T + I & logistic & mlp & 2 M & 2s & 0.936 & 0.11 & 0.39 & 0.66 A + T & cosine & mlp & 0.3 M & 2s & 0.930 & 0.43 & 0.74 & 0.86 A + I & cosine & mlp & 0.3 M & 2s & 0.896 & 0.32 & 0.57 & 0.76 T + I & cosine & mlp & 0.3 M & 2s & 0.919 & 0.43 & 0.74 & 0.85 A + T + I & cosine & mlp & 0.4 M & 2s & 0.931 & 0.42 & 0.72 & 0.86 tabular tablenotes Number of network hyperparameters , epoch training time , AUC - ROC , and catalog coverage at for different settings and modalities ."
VSM,vacationing server model,VSM - Vacationing Server Model .
CC,charging current,One percent charging time is almost constant with respect to SOC within the CC phase ( 75 ) .
CC,corpus callosum,"Along - fiber GFA visualization and cosine similarity between pairs of fibers from three prominent bundles : a ) CST ( R ) , b ) CC , c ) IFOF ( R ) , using framework of varifolds ( Var ) and functional varifolds ( fVar ) ( top left ) , and Comparing variation of cosine similarity for the select fiber pairs over kernel bandwidth parameters and for the framework of functional varifolds ( top right : CST ( R ) , middle left : CC , middle right : IFOF ( R ) ) ; Impact of on clustering consistency ( measured using Average Silhouette ) for for functional Varifolds vs Varifolds ( bottom left ) , and functional Varifolds vs GFA only ( bottom right ) Figure ( top left ) shows GFA color - coded fiber pairs ."
CC,collision cone,The strength of ( VO ) or ( CC ) concept is that it models dynamic collision avoidance as a first order constraint in combined position - velocity space .
CC,cross - correlation,"We highlight the following a few observations : 1 ) NMSRVI ( 1 ) achieves the best performances , and outperforms ANTs in terms of both MSE and mean CC on both tasks , likely due to the representation and optimization efficiency of deep neural nets ; 2 ) NMSRV yields consistently better results than VoxelMorph , demonstrating the efficacy of self - supervised optimization during the test phase for improving velocity field estimation and reducing the estimation gap between training and testing ; 3 ) NMSR ( 1 ) achieves better performance than NMSR on all experiments , demonstrating the benefit of sequential multi - scale optimization in echocardiogram registration ."
CC,creative commons,Use permitted under Creative Commons License Attribution 4.0 International ( CC BY 4.0 ) .
CC,central cloud,: Power consumption of cache processing at CC / EC .
CC,classifier chain,Bayesian Classifier Chains ( BCC)Zaragoza2011It creates a maximum spanning tree based on marginal label dependences and then employs a classifier chain ( CC ) .
CC,closeness centrality,"The nodes in the innermost core have higher CC hence , they can rewire their connections to reduce congestion in the network ."
CC,constant charging,"SummaryFinally , other than CC - CV and DLC , we have identified two more variants of these two , one of them applies CV at the beginning and the other uses CC at the end of charging ."
CC,cover complexity,The numerical results verify that the expected error of trained networks scaled with the square root of the number of classes has a linear relationship with respect to the CC .
CC,connected caveman,"[ ] Mean and Std Dev of Under the Null [ ER , 35 runs , 12 clust ] [ ER , 100 runs , 12 clust ] [ ER , 1000 runs , 12 clust ] [ ER , 35 runs , 24 clust ] [ ER , 100 runs , 24 clust ] [ ER , 1000 runs , 24 clust ] [ CC , 35 runs , 12 clust ] [ CC , 100 runs , 12 clust ] [ CC , 1000 runs , 12 clust ] [ CC , 35 runs , 24 clust ] [ CC , 100 runs , 24 clust ] [ CC , 1000 runs , 24 clust ] Null Distributions of , Number of Runs and Number of Clusters [ ER , 35 runs , 12 clust ] [ ER , 100 runs , 12 clust ] [ ER , 1000 runs , 12 clust ] [ ER , 35 runs , 24 clust ] [ ER , 100 runs , 24 clust ] [ ER , 1000 runs , 24 clust ] [ CC , 35 runs , 12 clust ] [ CC , 100 runs , 12 clust ] [ CC , 1000 runs , 12 clust ] [ CC , 35 runs , 24 clust ] [ CC , 100 runs , 24 clust ] [ CC , 1000 runs , 24 clust ] Null Distributions of in Red , Number of Runs and Number of Clusters , Gaussian with Same Mean and Std Dev in BlueThe histograms in Figure reveal that is roughly symmetrically distributed about its mean of zero , even with a small number of runs ."
CC,constant current,"However , the charging current ( mA ) drawn from the charger during the CC phase of charging does not change as the FCC of the battery decreases ."
CC,collaboration coefficient,"( a ) , CC has been estimated for all papers in Phys ."
CC,covert channels,The unidirectional covert channels can be used for various purposes including : ( 1 ) exfiltration of data from an organization ( 2 ) infiltration of data to an infected computer inside the organization 's network from a CC server .
CC,correlation constraints,"To verify the effectiveness of correlation constraints among the training dataset , we test two versions of the correspondence - evaluation networks : trained from dataset with correlation constraints ( CorrNet ) and without correlation constraints ( CorrNet w/o CC ) ."
CC,core connected,"It is easy to see that the higher the CC strength , the higher the likelihood that path - based high centrality vertices will be in the innermost core ."
DBN,deep belief network,"However , it has not been investigated as to how cost - sensitive learning could enhance DBN to deal with imbalanced data problems ."
DBN,dynamic bayesian network,The DBN representation of the multivariate HMM used in the presented method .
DBN,directed belief net,ECS - DBN shows a higher computational cost that is mainly due to the evolutionary algorithm .
DR,dimension reduction,"However , we are most interested in moving beyond the linear DR provided by PCA and estimating non - linear dimensionality of datasets ."
DR,demand response,"In , the authors develop a risk - averse learning approach for aggregators operating DR programs ."
DR,detecting repetitions,They are followed by units that aggregate by taking the sum of the DR unit activations for each pair of tokens .
DR,dispersion reduction,"For our proposed DR attack , we do n't rely on FGSM method , and instead we use Adam optimizer ( , ) with learning rate to reduce the dispersion of target feature map ."
DR,digit reversal,Pairs of vectors are compared with one DR unit for every vector dimension with weights from the inputs to the DR units fixed at .
DR,differential rectifier,There are two ways of adding DR units to a standard neural network .
DR,dimensionality reduction,"We show that several important questions arise when using autoencoders for DE , above and beyond those that arise for more classic DR / DE techniques such as Principal Component Analysis ."
DR,document retrieval,"In the two stage process , the original index built for DR is used to retrieve the top documents and the plain text ( any text between two SGML elements ) is extracted as a separate passage ."
EM,expectation maximization,"[ .55 ] Average AMI score ( blue line ) measured for RNN - EM ( trained for 20 steps ) across the flying MNIST test - set and corresponding quartiles ( shaded areas ) , computed for each of 50 time - steps ."
EM,exact match,"The EM metric measures the percentage of predictions that match exactly any of the answer aliases , and the F1 metric measures the average overlap between the prediction and answer ."
EM,electron microscopy,"Although VI has been used for evaluating natural image segmentations , its use in EM has been limited ."
FS,feature selection,"Feature selection mainly provides three kinds of categories : filter - based , wrapper - based and embedded FS ."
FS,frame semantic,"Coref , WMD and FS denotes coreference system , word mover 's distance and frame semantics ."
FS,fraudulent services,"Fraudulent Services ( FS ) Domains and IP addresses engaged in the distribution or provisioning of bogus or fraudulent services or applications such as the promotion of comments , likes , ratings , votes or any variations thereof de2014paying , Ikram:2017:MCD , farooqicharacterizing ."
FS,fully sampled,We observe that the segmentation results produced by the images from our Recon - GLGAN model are similar to FS images in comparison with the ZF and GAN images .
FS,fragment shader,"In this proposal we are discussing mainly both the Tessellation Shader - TS , which allows to refine simpler meshes into finer ones , and the Fragment Shader - FS , which is used to apply lighting , color blending , process and render a fragment , for example a pixel ."
MA,moving average,"From top to bottom rows : ( a ) non - averaged generator , ( b ) , ( c ) , ( d ) , ( e ) , ( f ) MA Generation for CelebA dataset for various values at 350k iteration ."
MA,multiple assignment,"When multiple assignment ( MA ) is used , it is applied only on the query side to avoid memory overload ."
MA,merlin - arthur,"For the cases of NP or MA and QCMA , it is known that Unique NP , Unique MA , and Unique QCMA reduce to NP , MA , and QCMA , respectively , under randomized reductions ."
MA,mobile agent,The route planning based on MA can be done with the usage of the locations of each node in the environment that acts as input for the intelligent agent .
PSO,particle swarm optimization,"Hence , it is necessary to induce a classifier for each particle ( PSO based algorithms ) or parent ( GA ) and use the consequent classification performance as criterion function , in ( ) ."
PSO,power system operations,proposed the PSO algorithm for solving energy management of a hybrid generation system ( HGS ) .
ABC,artificial bee colony,"Therefore , ABC seems to be far better than other evolutionary algorithms like Genetic Algorithm ( GA ) ."
ABC,absorbing boundary condition,Again we see the effect of the planewave ABC much like the FEM - TD framework .
MP,message passing,"In addition , we carry out simulations to show the results from MP and LASSO based hypothesis testing methods and compare them against the results from LT methods ."
MP,matching pursuit,"Recall that MP and OMP approximate in the least - squares sense , i.e. , they aim at minimizing ."
MP,most popular,This is also reflected in the recommendation accuracy results presented in Table as the unpersonalized MP approach provides better results than the personalized CF one .
MP,max pooling,MP : max - pool .
MP,mean precision,Mean Precision ( MP ) averages such measures for all requests from the dataset .
MP,mask pyramid,The MP architecture improves performance especially when small metallic implants are dominated by the non - metal regions .
BM,bare metal,= feature available from VM or BM .
BM,black males,"[ cloud , below of = gc , node distance = 2 cm ] ( m ) Race Classification ; [ cloud , below of = init , node distance = 2 cm ] ( f ) Race Classification ; [ block3 , below left of = m , node distance = 1.5 cm ] ( of ) BM Age Estimator ; [ block3 , below right of = m , node distance = 1.5 cm ] ( hf ) WM Age Estimator ; [ block3 , below left of = f , node distance = 1.5 cm ] ( om ) BF Age Estimator ; [ block3 , below right of = f , node distance = 1.5 cm ] ( hm ) WF Age Estimator ; [ - > ] ( init ) - ( pp ) ; [ - > ] ( pp ) - ( gc ) ; [ - > ] ( gc ) - node Male ( m ) ; [ - > ] ( gc.south ) - + + ( 0,-.3 cm ) - ( f ) node[near end , above left , yshift=-4pt ] Female ; [ - > ] ( m ) - ( of ) ; [ - > ] ( m ) - ( hf ) ; [ - > ] ( f ) - ( om ) ; [ - > ] ( f ) - ( hm ) ; tikzpicture adjustboxOverview of race - composite age prediction framework ."
VM,virtual machine,"Second , Specify VM Parameters as image size , VM memory ( MB ) , number of CPUs and VMM name ."
VM,visual module,"At test time , the VM processes the image and the resulting segmentation map is upsampled using the UM and compared to the GT mask ."
VM,von mises,The estimator takes the following form where is the pdf of the normalized distances and is the VM pdf .
BEA,building educational applications,"In this section , we briefly describe the systems from all 11 teams that have participated in the 2018 CWI shared task and wrote a system description paper to be presented at the BEA conference ."
BEA,bond energy algorithm,"By further investigating cluster - based approaches in Figure chap6fig : soaptimedetail , we can see that although there is more fluctuation in the response generation time when using the BEA algorithmto cluster messages , the selection of clustering approaches does not impact the response generation time too much ."
MMD,maximum mean discrepancy,"For example , to train on the entire extended Yale B dataset , VAE takes two minutes , VFAE takes ten minutes(VFAE is slower because of the discrete operation it has to perform to form the samples for estimating the MMD . ) ,"
MMD,minimizes marginal distribution,We compute the aggregate MMD distance of HomOTL - ODDM on their induced embeddings by Equation .
FC,fully connected,"Moreover , it can be seen from the table that , had we used the same number of parameters in a FC Classifier as those used by LH Classifier , we would have got significantly inferior performance thereby proving LH Classifier to be a beneficial alternative ."
FC,fusion center,"Having defined the game , we use numerical simulations to derive the existence of equilibrium points , which then identify the optimum behavior for both the FC and the Byzantines in a game - theoretic sense ."
FC,fixed confidence,"Our practical recommendation for FC model selection is a variant of the well - known Bayesian sampling algorithm , Thompson sampling , known as top - two Thompson sampling ( TTTS ) ."
FC,filter controls,The FC logic should be simple enough to run on edge devices .
FC,frame content,"The number of FC instances equals the number of total cameras , and are equally distributed on all 10 VMs ."
FC,fashion compatibility,We outperform standard common space fusion on all three datasets for both the FC and FITB tasks .
FC,fiscal code,"First , we have created one table for each of the previous datasets , exploiting the following keys to link tables : UPC attribute is the unique identifier of projects ( Unified Project Code ) and FC is the unique identifier of partners ( Fiscal Code ) ."
FP,function processor,"Besides communicating directly , both FP and TP modules , observed as SDN applications , approach the SDN control plane via the SDN northbound interface ."
FP,false positive,FP Teacher tries to pick out the false positives from the positive outputs of the base learner .
FP,floating point,"Additionally , new models of Intel processors do not allow direct reading of FP operations ."
FP,failure prediction,"While DW - RNN makes an explicit assumption on the data distribution , MTL - RNN exploits the implicit relationship between the long - term RUL and short - term FP tasks to learn the underlying distribution ."
FP,fixed point,"We identify the following FP equation for a stationary point for minimizing eqn : BCHKL , based on the partial KKT system : Optimal PAC - Bayesian Posterior using Linear Distance Function One of the simplest distance functions is the linear distance function , for ."
SDR,software defined radio,Real DataWe use the SDR technology to build our testbeds .
SDR,semidefine relaxation,"a shows the complexity evaluated as the number of FLOPs for WeSNet - HF-100 , WeSNet - HF-50 , WeSNet - HF-20 , DetNet , ZF , MMSE , SDR and ML detectors against the number of transmit antennas ."
BO,backoff,"MPR - MACSince the MPR - MAC follows the conventional IEEE DCF access scheme , the probability of more than one STA choosing the same random BO is low ."
BO,bayesian optimisation,"Also , a baseline method we introduce , CEM - PI , could be used to perform optimization within standard BO ."
EL,euler - lagrange,This assumption is restrictive in nature for EL systems and the switching gain is thus insufficient to provide the necessary robustness .
EL,entity linking,( 3 ) NQG + EL : Extension of NQG with the entity linking feature ( 500 dimension ) discussed in Section .
EL,edge length,"In contrast , the hybrid Crowd - SA20 approach performed better than the Crowd approach for distance - based criteria such as EL and ND ."
EL,episode length,"As such , the metric EL roughly measures the duration of good tracking , which shares the same spirit of the metric Successfully Tracked Frames in conventional tracking applications ."
EL,external links,EL : captures all requests coming from external websites that are not search engines .
LSB,least squares boosting,The LSB fitting ensemble resulted in an RMSE of 0.15 m where the PCA and GLM yielded RMSE ’s of 0.19 m and 0.18 m respectively over shallow water depths less than 2 m .
LSB,least significant bit,"In general MSB sort is more common because , compared to LSB sort , it requires less intermediate data movement when keys vary significantly in length ( this is more of an issue for string sorting ) ."
FIM,fisher information matrix,"Recently , Liu2018RotateYN proposed R - EWC to overcome the assumption that FIM should be diagonal by rotating the parameter space of the neural network while preserving the output of the forward pass ."
FIM,fragment identifier messaging,A system similar to FIM was developed using the window.name property of window objects .
FIM,fast iterative method,FIM has been also proposed for triangulated surfaces .
DF,direction facilities,Theoretic approach on new agents features for Android applicationsSeveral common features for Multi Agent Systems and an Android application are : Concurrency : the Android components are activated by intents ( decentralized events trigger an agent behavior or the Yellow Pages service provided by the DF special JADE agent ) .
DF,dominating frequencies,We can see that in the absence of DC DF for round - shaped droplets decreases while it increases for the square - shaped ones .
ACL,agent communication language,The agents can easily identify the ACL messages received from other agents and have access to their queue of messages .
ACL,access control list,The ACL also needs to be updated when a bidder joins or leaves the network .
ARC,adaptive - robust control,Conventional ARC strategies either require structural knowledge of the system or presume that the overall uncertainties or its time derivative is norm bounded by a constant .
SAR,synthetic aperture radar,"Given a quad - tuple , by supposing , the square of MMD can be rewritten aswhereDeep Domain Adaptation Based on Transitive Transfer with Multi - SourceIn our method , we will choose a variety of source tasks with diverse similarity to the target task to assist recognizing some new types of SAR targets by transitive transfer learning from distant to similar ."
SAR,socially assistive robots,The participant surveys support this conclusion and provide the user 's perspective on the SAR 's ability to adapt .
SAR,search and rescue,Their use in SAR operations attracted considerable attention and became a topic of interest in the recent past .
SAR,sensing application recently,"With rich texture information in those unlabeled SAR slices , a deep stacked convolutional auto - encoders is trained to reconstruct the slices , generating a series of hierarchical convolution layers capable of extracting efficient features ."
OSI,open systems interconnection,"The Open Systems Interconnection ( OSI ) model proposes seven conceptual layers , where each one is only able to communicate and provide information to the adjacent layers ."
OSI,open source initiative,In this study we only consider projects released under one of the more than 60 licences that were approved by the Open Source Initiative ( OSI ) .
RLC,random linear coding,The results also show that XOR - based coding outperforms the RLC scheme .
RLC,radio link control,He has been working on the systems design for LTE MAC / RLC / PDCP / RRC layer implementations .
RS,running sum,The running sum ( RS ) is written to help illustrate the mechanics of the data set .
RS,residual splash,We maintain the residuals of either the messages for RBP or the vertices for RS .
RS,rate - selective,"Decoding probability , , versus the number of relay nodes , , over IID Nakagami- fading channels with different values of and : ( A ) Repetitive and ( B ) RS - based transmission ."
RS,relay station,"Actually , the RS method includes two different types of precoders for the transmission of the private and common messages , respectively ."
RS,random search,"Moreover , we find that the advantage of RL over RS is larger in this case ( RL achieves 1.54 better validation accuracy than RS ) ."
RS,remote sensing,"We conduct a series of experiments on two representative state of the art deep nets for RS images , the Maggiori et al ."
RS,recommender systems,At every time step the RS serves the user the Top Picks for You set of recommended items .
RS,rate splitting,"Robustness of RS in FD systems?-ComparisonsThe metric , we employ , to shed light on this meaningful question is the theoretical DE sum - rate and the corresponding Monte Carlo simulation ."
RS,randomly sampled,"Labels & Sampling Percentage 6cStep 2 R1 & & 300 & 5 & 7 & 33 BS - 67 RS R2 & Subset of & 88 & 10 - 20 & 7 & 92 BS - 8 RS VR & & 300 & 5 & 4 & 33 BS - 67 RS 6cStep 3 FR & & 80k & 5 & 4 & 12.5 BS - 87.5 RS Datasets per Round -1emStep 2 : Exploratory Rounds The goal of this step is to tune the crowdsourcing parameters on a smaller dataset , in order to quickly get some insights but minimize the cost while doing so ."
RS,random split,This strengthens our argument regarding heterogeneity between the subsets explains the accuracy difference between RS - task SC - task .
RS,rate saturation,"Next , we apply RS in the second link by designing the precoder of the private and common messages , and we consider suitable power allocation ."
NN,neural network,"Lastly , the model is formulated as a full pipeline based on a NN method that can be learned by backpropagation and a stochastic gradient solver ."
NN,nearest neighbor,Different values of yield different NN - functionals .
NB,negative binomial,"In probability theory and statistics, the NB distribution is a discrete probability distribution that models the number of successes in a sequence of independent and identically distributed Bernoulli trials before a specified  number of failures  occurs."
NB,naive bayes,"Same as before , HT and KNN have the least discriminating behavior while NB performs poorly ."
NB,new brunswick,"Rasoul Shahsavarifar and David Bremner , "" Geometric and Computational Aspects of Data Depth "" , Annual Graduate Research Conference , University of New Brunswick , Frederiction , NB , Canada , April 23 , 2015 ."
HOS,higher - order spectra,HOS features have been used to analyze human emotion as a spectral representation of higher - order moments or cumulants of a signal .
HOS,higher order statistics,Higher order statistics ( HOS ) are used as the feature for recognition because they characterize the distribution shape of noisy baseband samples with low complexity .
SA,structural accuracy,"SA scores anatomical correctness , i.e. , whether the structure of the mandible and the teeth were accurately represented ."
SA,single architecture,"In some cases , a single architecture trained end - to - end has been shown to achieve satisfactory performance without the need for further pre- and post - processing , e.g. by modeling the spatial dependence amongst SA sections ."
SA,stacked autoencoders,"In some cases , a single architecture trained end - to - end has been shown to achieve satisfactory performance without the need for further pre- and post - processing , e.g. by modeling the spatial dependence amongst SA sections ."
SA,simulated annealing,"Here , we observed that the Crowd and Hybrid approaches improved the scores at a faster rate than SA in all three networks , while also considerably outscoring it in networks G2 and G3 ."
SA,signal analysis,"tab : litreviewtabularl l l l l l l lReference & Year & Knowledge- & Experience- & Data- & Model- & Hybrid & Other methods & & based & based & Driven & based & & luo2003model & 2003 & & & & & & schwabacher2005survey & 2005 & & & & & & jardine2006review & 2006 & & & & & & AI lee2006intelligent & 2006 & & & & & & goh2006review & 2006 & & & & & & kothamasu2009system & 2006 & & & & & & Reliability , Stochasticcoble2008prognostic & 2008 & & & & & & Stress and effects - based heng2009rotating & 2009 & & & & & & sikorska2011prognostic & 2011 & & & & & & Life Expectancy , ANN si2011remaining & 2011 & & & & & & ahmadzadeh2014remaining & 2014 & & & & & & tsui2015prognostics & 2014 & & & & & & SA , Stochastic , ANNtsui2015prognostics & 2015 & & & & & & tabulartabletable[htbp ! ]"
SA,sensitivity analysis,"To study the impact of MR on the production process risk analysis and CPPs / CQAs criticality assessment , we propose the BN - SV - MR based UQ and SA which can guide the risk- and science - based process monitoring and data collection ."
SA,strongly adaptive,They also propose a meta algorithm which can convert an algorithm of good static regret to one with good SA regret .
SA,sensing antennas,"In TranSensing , the SA determine if the PU is present or not ."
SA,significance and accuracy,"The specific contributions of this work are presented below with a reference to the section in which they are described : enumerate A graphical user interface for simplifying the deployment of workflows for the RTF , which is coupled with a code generator that allows the flexible use of the RTF on distinct domains [ Section sec : improve ] ; The development and analysis of multi - level reuse algorithms : enumerate A coarse - grain merging algorithm was implemented [ Section sec : stage - merging ] ; A fine - grain Naive Merging Algorithm was proposed and implemented [ Section sec : naive - merging ] ; The fine - grain Smart Cut Merging Algorithm was proposed and implemented [ Section sec : sca ] ; The fine - grain Reuse - Tree Merging Algorithm was proposed and implemented [ Section sec : rtma ] ; enumerate Proposal and implementation of the Task - Balanced Reuse - Tree Merging Algorithm that reduces the issue of loss of parallelism due to load imbalance provoked by the Reuse - Tree Merging Algorithm [ Section sec : TRTMA ] ; The performance gains of the proposed algorithms with a real - world microscopy image analysis application were demonstrated using different SA strategies ( e.g MOAT and VBD ) at different scales ."
SA,satisfies aass,"Of course , SA schemes go far beyond SG methods ."
SA,situational awareness,"Therefore , a successful attack on these devices might cause erroneous SA or cascading failures ."
SA,subspace alignment,Subspace distribution alignment ( SDA ) extended SA by adding the subspace variance adaptation .
SA,steepest ascent,"eq : update_z , we used the CSA ( SA for the RBM method ) of epochs with a learning rate of ."
SA,scores anatomical,"The proposed MAR scored higher than the manual correction results in terms of both QOAR and SA for all data , with an average of 3.5 ."
SA,string analysis,fig : graph - SA figure
EI,expected improvement,"Again , when using GPs as the surrogate model , EI can be analytically computed : where and denote the PDF and CDF of the standard normal distribution respectively ."
EI,epidemic intelligence,"Although numerous approaches successfully detect common epidemic outbreak events from Twitter , e.g. , seasonal influenza Culotta:2010:TDI:1964858.1964874,DBLP : conf / emnlp / AramakiMM11,LamposTIST2011 , it seems that the challenges in building an EI system are still underestimated , especially when it comes to detecting emerging ( novel or non - seasonal ) health events from social media streams ."
EI,event interaction,"Regarding event interactions as vertices , we define two vertices are linked given the following three rules are satisfied : In the time series , a source EI ( e.g. , ) is the closest EI prior to the sink EI ( ) ."
MCC,matthews correlation coefficient,"Matthews Correlation Coefficient ( MCC ) measures the correlation between the actual and the predicted classifications , ranging between -1 and +1 , where -1 indicates total disagreement , +1 indicates perfect agreement , and 0 indicates no correlation at all ."
MCC,mesoscale cellular convection,"In this regard , Gravel is fundamentally different from open - cell MCC , which has larger cells that are driven by overturning circulations in the boundary layer ."
MCC,maximal connected component,"MCC computation is done at the end of each iteration , to find the parent community of the deleted node ."
ROC,receiver operating characteristic,The best performing algorithms are aggregated using a probability vote in order to create a model which has the largest area under ROC curve of all the developed models .
NBC,naive bayes classifier,"NBC is also limited by data scarcity for which any possible value in feature space , a likelihood value must be estimated by a frequentist ."
NBC,non - parametric bayesian classification,"NBC has the advantage of adapting the model complexity ( i.e. , the number of clusters ) to the amount of data available , and thus avoiding the problem of over - fitting and under - fitting ."
SK,string kernel,"Spectrum kernel as part of SK has been applied to many different applications , including text , DNA , and protein classification ."
SK,septic shock,"Here , Det = Detection , Pred = Prediction , S = Sepsis , SS = Severe Sepsis , SK = Septic Shock , MLP = Multilayer Perceptron , LR = Logistic Regression , XGB = XGBoost , RF = Random Forest ."
MTL,medial temporal lobe,It was demonstrated that the firing of MTL cells was sparse because most of them did not respond to the great majority of images used in the experiment .
MTL,multi - task learning,"Specifically , we develop a bidirectional MTL RNNs to jointly learn the long - range contextual information from two directions ( from cervical vertebrae to sacral vertebrae and the other way around ) for both the identification and localization tasks ."
IL,imitation learning,"Recently , methods combining the advantages of IL and RL have become popular liang2018cirl , taylor2011integrating , rajeswaran2017learning , gao2018reinforcement , zhu2018reinforcement ."
DMP,dynamic movement primitives,A DMP executed on the Arm - Ball environment .
DMP,digital motion processor,"Fortunately , the DMP co - processor of the MPU6050 already implements these features very efficiently ( see Fig . ) ."
GCP,graph compression problem,"In this regard , the optimisation algorithm that is introduced in next section to solve the generalised GCP is only provided for the discrete case , for simplicity reasons ."
GCP,grid connection point,"The lower layer , executed at 10 s resolution , has the objective of pursuing an accurate tracking of the dispatch plan at the GCP ."
IP,intellectual property,The key value is only available to the OCM and the IP owner and not available during the fabrication process .
IP,internet protocol,"In particular , they allow entities in the allocation hierarchy to arbitrarily override an existing IP allocation ."
IP,inductive programming,fig : mw - ideafigure*Domain - Specific InductionFor the purpose of this work we have used MagicHaskellerkatayama2012analytical as the IP core system for several reasons(Note that all the experiments could be replicated using any other IP learning system . ) .
IP,inverse proportion,"IP is calculated as , where the degree decreases quickly at smaller positions ."
IP,intercept probability,"In the following , we analyze the IP of the DMA case in which all relays that can successfully decode the source 's message simultaneously forward its replicated image to the destination ."
IP,image preprocessing,IP contains mathematical methods for how a shark image is preprocessed in order to reduce noise caused by wind or weather in the ocean .
IP,integer programming,We compare the approximation algorithm with the IP model experimentally using randomly - generated data .
TLS,transport layer security,"Early research efforts towards TLS included the Secure Network Programming  application programming interface , which in 1993 explored the approach of having a secure transport layer API closely resembling Berkeley sockets, to facilitate retrofitting pre-existing network applications with security measures."
TLS,terrestrial laser scanning,This causes issues when pre - training MLS data as TLS data exhibits very different artefacts to MLS .
PAD,probe attempt detector,"Therefore , if only a few wires are identified as security - critical wires and need to be protected , PAD is a good option with small overhead ."
PAD,presentation attack detection,Test on Replay - AttackThe motivation behind selecting to leave out the Replay - Attack dataset is to show the impact in the performance of face - PAD algorithms of unseen attacks belonging to a new domain : this dataset contains all the samples for replay - low - quality attacks ( see Fig .
ASM,active shape model,The original form of ASM is restricted to single object segmentation and can not deal with more complex scenarios of multiple occluded objects .
ASM,alphabet set multiplier,"In ASM , the multiplication steps are replaced by shift and add operators which are performed by some alphabet defined by a pre - computer bank ."
DMD,dynamic mirror descent,The second step of DMD in eq : DMD uses the shift model to anticipate the optimal decision for the next round .
DMD,digital micro - mirror device,"If is the vector of single pixel measurements from SPC and is the compressive sensing matrix , then we have the forward model as : LiSensIn Lisens , the 2D image of the scene formed on the DMD plane is mapped onto a 1D line - sensor which essentially captures the 1D integral of the 2D image ( along rows or columns ) ."
DMD,deficient mapping dissolution,"DMD solves the left , but not the right example , EMD solves the right , but not the left one , and iterative improvement solves both ."
EMA,exponential moving average,"Because of the issues stated above , we use Exponential Moving Average ( EMA):where EMA has an effective time window over iterates , where early iterates fade at a rate depending on the value ."
