acronym,expansion,anchor_sentence
PA,physician associates,"_%#MM#%_ _%#DD#%_, 2006 _%#NAME#%_ _%#NAME#%_, MD OB-GYN West PA _%#ADDRESS#%_ _%#ADDRESS#%_ _%#ADDRESS#%_ _%#ADDRESS#%_ Suite 103 _%#CITY#%_, Minnesota _%#55400#%_ Dear Dr. _%#NAME#%_: Thank you for referring your patient, _%#NAME#%_ _%#NAME#%_, who was seen, along with her husband, _%#NAME#%_, for genetic counseling at the Maternal Fetal Medicine Center at Fairview Southdale Hospital on _%#DDMM2006#%_."
PA,pulmonary artery,"An echo performed during his recent hospital admission showed severely decreased LV function with an EF of 10%, mod TR, mod MR. The patient has had a Swans-Ganz catheter which shows a cardiac index of 1.3. PA pressures are 63 by 40, CMP of 16. ASSESSMENT/PLAN: A 42-year-old gentleman with dilated cardiomyopathy with severely decompensated congestive heart failure."
PA,tissue plasminogen activator:TPA,"Hypertension was controlled satisfactorily with labetalol. Initial diagnostic studies suggested a right hemispheric nonhemorrhagic infarction. The patient was prepared for infusion of t- PA, per protocol, which was subsequently aborted when he developed a major motor seizure, rendering the t-PA infusion contraindicated."
PA,pulmonary embolus:PE,"Neurologic exam is unremarkable. LABS: Sodium 133; chloride 91; potassium 4.4; bicarb 34; BUN 14; creatinine 0.6; anion gap 8; platelets 222; white blood cell count 11.9 with 76% neutrophils; hemoglobin 13.8; platelets 247, D-dimer 0.7; troponin less than 0.7. Brain natriuretic peptide is 69. Glucose is 150. Electrocardiogram shows no fast rhythm. No ischemic changes. CT of chest is negative for PD. It does show a couple of small mid-mediastinal nodes. IMPRESSIONS: 1. Dyspnea with hypoxia. No acute cause found in the emergency department."
PA,pulmonary auscultation,"Localized tenderness in the posterior cervical region in the left but no focal neurologic defects. No thyromegaly or bruits on neck exam. CHEST: Clear to PA. CARDIAC: No S3, S4, murmurs, or rubs. ABDOMEN: No organomegaly. Nontender. Scars from the laparoscopic cholecystectomy noted. No palpable aneurysm."
PA,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
T4,thoracic (level) 4,"The patient was doing well until _%#NAME#%_ 2004, when she started having right hip pain again and was admitted to University of Minnesota Medical Center, Fairview, after sustaining a hip fracture from a fall. She underwent right hip arthroplasty on _%#MM#%_ _%#DD#%_, 2005. She presented again with skeletal metastasis and underwent C2 to T4 fusion. She started having increasing lower back pain approximately in _%#MM#%_ 2005, and was treated with 15 fractions of radiation therapy to her T9 and T10 compression fracture that was found on imaging."
T4,thyroxine,"Although this disorder usually appears as a goiter with or without hypothyroidism, iodine, may produce hypothyroidism unaccompanied by goiter. The low- normal free T4 blood test is characteristic of mild primary hypothyroidism. I have asked Mr. _%#NAME#%_ to have a family member bring and the iodine and kelp supplements."
T4,tumor stage 4,"He tolerated his first round of chemotherapy without difficulty. This was considered to be an inoperable tumor by ENT. PAST MEDICAL HISTORY: 1. Squamous-cell carcinoma of the tonsil, T4 N0. 2. G-tube placed on _%#MMDD2003#%_. During the same hospitalization, the patient received chemotherapy and initiated radiation treatment."
IVF,inferior vena cava:IVC,"4. Bilateral effusions plus lower extremity edema plus pericardial effusion raises concern for constrictive pericarditis which could be causing his profound dyspnea, leading to a sedentary lifestyle or at least contributing to it that will not get better with diuresis or even dialysis. PLAN: 1. Formal sleep study. 2. Empiric CPAP (10-cm of water). 3. Ultrasound thoracentesis on the right (diagnostic). 4. IVF filter placement. 5. Consider right heart catheterization to look waveform analysis to rule out constrictive pericarditis. HISTORY OF PRESENT ILLNESS: _%#NAME#%_ _%#NAME#%_ _%#NAME#%_ is a 74-year-old male who was admitted to Fairview Southdale Hospital on _%#MMDD2003#%_ with recurrent syncopal episodes."
IVF,intravenous fluid,Enteral feeds were started on DOL # 0. He was treated with IV Lasix to assist with minimizing pulmonary congestion. Hyponatremia of 128 on DOL# 5 resolved without sequela after adjustment of IVF and decreasing the Lasix dose. He was started on enteral feeding on _%#MM#%_ 2 including breast milk and Enfamil 20 Kcal formula which was tolerated well.
IVF,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
IVF,in vitro fertilization,"We specifically discussed Down syndrome, trisomies 13 and 18, and the sex chromosome abnormalities. Based on information provided regarding the IVF pregnancy, the patient has a term risk of carrying a baby with Down syndrome of 1:1429 and a term risk of carrying a baby with any of the aforementioned chromosome abnormalities of 1:500."
OR,(drug) OR,"CURRENT MEDICATIONS: 1. Coumadin 5 mg once daily, which was stopped on Monday. 2. Timoptic 0.5% ophthalmic solution. 3. Calcium 500 mg supplement two tablets daily. 4. Centrum OR tablets. 5. Humulin R 100 mg units, 16 units q.a.m. and q.p.m. 6. Methotrexate 2.5 mg OR tablet four tablets orally once weekly."
OR,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
OR,GENERAL ENGLISH,"Conversely he has continued to use all the way up until 3 months, when he was abusing opiates. He also has had a history of passive-aggressive and forceful type behaviors. IT should be noted though that his father has a history of alcoholism and continues to drink on a daily basis. Overall, he feels that he was emotionally abused by his father."
OR,operating room,"HOSPITAL COURSE: This patient was referred to Dr. _%#NAME#%_ at the University of Minnesota for repair of the above. On _%#MM#%_ _%#DD#%_, 2005, he was taken to the OR and the procedure was performed without complication. Postoperatively, he came to the intensive care unit where he was admitted for cardiopulmonary monitoring and resuscitation."
ER,extended release,"He has had congestive heart failure in the past, chronic atrial fibrillation status-post pacemaker, diabetes mellitus, mild chronic renal failure, remote history of tobacco use 22 years ago, hypertension, dyslipidemia, arthritis, not active. In 2003, he had an ejection fraction of 45-50%. MEDICATIONS: On admission: 1. Niaspan ER 1,000 mg q h.s. 2. Coreg 25 mg b.i.d. 3. Lisinopril 40 mg q.d. 4. Spironolactone 25 mg a day. 5. Furosemide 40 mg a day. 6. Potassium chloride 20 mEq a day."
ER,emergency room,"The patient did not have any fever or chills. The patient had numerous watery stools, so she came to ER. In the ER, the patient's blood pressure was stable. She was afebrile. She had an abdominal x-ray, which showed normal bowel gas pattern, 1or 2 nonspecific fluid-fluid level on upright view, some of which include colon."
ER,estrogen receptor,"There was vascular invasion identified as well as an area of high-grade DCIS with necrosis, comedo type. As mentioned before, the tumor was ER positive, PR negative, and HER2/neu negative. The margins were negative. The largest area of metastases was in the sentinel node that measured 1.6 cm in diameter."
T1,term 1,"DOB: This is a 35-2/7 week estimated gestational age male, delivered vaginally at 2215 g to a G3, T1, P1, AB0, white female. The mother is A-, hepatitis B negative, GBS pending and the patient's mother had been given RhoGAM on _%#MMDD2005#%_."
T1,type 1 (diabetes mellitus),"Of note, he is not on calcineurin- inhibitors and is on the Campath/CellCept protocol. PAST MEDICAL HISTORY: 1. T1 diabetes mellitus, onset age 31. 2. Proliferative retinopathy. 3. Glaucoma. 4. Peripheral neuropathy. 5. Diabetic gastroparesis with gastroesophageal reflux disease."
T1,thoracic (level) 1,"She has been diabetic since age 11. She denies hypertension or thyroid disease. PAST SURGICAL HISTORY: She has had the above-mentioned anterior cervical fusion from C6 through T1 done in 1992. She has had four surgeries for thoracic scoliosis in 1998, 1999 and two operations in 2000."
T1,tumor stage 1,"EXTREMITIES: No edema in the lower extremities was noted. NEUROLOGIC: Cranial nerves II-XII are grossly intact. Normal gait. ASSESSMENT AND PLAN: Ms. _%#NAME#%_ is a 54-year-old female with a stage I, T1 N0 M0 invasive ductal carcinoma of the left breast. It was our recommendation that the patient should go on to receive adjuvant radiation to the left breast."
T1,T1 (MRI),"Here, we see excellent results with no evidence of tumor enhancement and no evidence of new areas of abnormality on either T1 or T2 signal assessment. IMPRESSION: Glioblastoma involving the left temporal region with remarkably good response to multimodality intervention including initial surgery, radiotherapy and Temodar x 12 cycles."
T1,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
MS,NAME,CHIEF COMPLAINT: Fever. HISTORY OF PRESENT ILLNESS: _%#NAME#%_ _%#NAME#%_ is a _%#1914#%_ male recently discharged from Southdale Hospital with urosepsis to _%#CITY#%_ Care Center. This morning was getting up to the bathroom trying to walk without his walker; he fell and bumped his head at that time.
MS,GENERAL ENGLISH,"Conversely he has continued to use all the way up until 3 months, when he was abusing opiates. He also has had a history of passive-aggressive and forceful type behaviors. IT should be noted though that his father has a history of alcoholism and continues to drink on a daily basis. Overall, he feels that he was emotionally abused by his father."
MS,morphine sulfate,"IDENTIFICATION: Mr. _%#NAME#%_ is a 30-year-old Caucasian male. He is married. He currently lives in _%#CITY#%_, Minnesota. His drug of choice is MS Contin. He has not had any previous chemical dependency treatment. He has been treated for depression as an outpatient. HISTORY OF PRESENT ILLNESS: Mr. _%#NAME#%_ states he is here to get detoxed so he can have infusion pump implanted in his back."
MS,medical student,"3. Desires repeat cesarean section. 4. Delivered. PROCEDURE: Repeat low transverse cesarean section. SURGEON: _%#NAME#%_ _%#NAME#%_ _%#NAME#%_, MD ASSISTANTS: 1. Dr. _%#NAME#%_ _%#NAME#%_. 2. Student MS III, _%#NAME#%_. FINDINGS: Viable female infant with Apgars of 9 at 1 minute and 9 at 5 minutes, weighing 7 pounds 9 ounces, normal appearing uterus, tubes and ovaries bilaterally with dense bladder adhesions to the anterior uterine wall."
MS,master of science,"Both Drs. _%#NAME#%_ and _%#NAME#%_ have reviewed the surgery in detail with _%#NAME#%_ on several occasions. Model surgery has been done and splint constructed. Presurgical orthodontics has been done by Dr. _%#NAME#%_ _%#NAME#%_, DDS, MS, orthodontist who aligned and leveled the teeth in the maxillary and mandibular skeletal structures. Visual aids used to describe the patient to the family have included the model surgery, the Epker drawings, the plastic skull and the AAOMS booklet."
MS,musculoskeletal,"LUNGS: Clear to auscultation bilaterally. ABDOMEN: Right subcostal old incision, supple, non- tender, non-distended, no organomegaly. SKIN: No rashes. NEUROLOGIC: Alert and oriented x 3, MS 5/5 distal proximal left and right upper and lower. Deep tendon reflexes are positive throughout. CTR 0, indifferent. LABORATORY DATA: EKG: negative T-waves in leads 3 and aVF, none significant."
MS,(drug) MS,"7. Albuterol 2.5-mg nebs q.i.d. 8. Nasacort 2 puffs q.d. 9. Pulmozyme 2.5-mg nebs. 10. Vitamins A, D, E and K. 11. Pancrecarb MS 7-8 tabs with meals and 4-5 tabs with snacks. 12. Tums ES 2 tabs p.o. with meals. 13. Ranitidine 150 mg p.o. b.i.d."
MS,mitral stenosis,There is a repair of the left cleft of the mitral valve. There is no residual shunt appreciated. There is moderate MR with mild MS. The mean gradient across the mitral valve is 4 mm of mercury. RV systolic pressures estimated at 25 plus RA. There is no thrombus appreciated.
MS,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
MS,multiple sclerosis,"As above, further GI evaluation will be indicated if she has persistent diarrhea. Thank you for having me see this patient. DISCUSSION: _%#NAME#%_ _%#NAME#%_ is a 41-year-old female with a history of MS whom I have been asked to see on the acute rehabilitation unit by Dr. _%#NAME#%_. Ms. _%#NAME#%_ underwent gastric bypass surgery one week ago and has been transferred from the medical/surgical unit to the acute rehabilitation setting for the treatment of exacerbation of her MS in this setting."
OP,occiput posterior,"HEENT: Anterior fontanelle soft and flat. Has large cephalohematoma, posterior occiput, which is resolving. Has a small scab. Eyes are clear. No icterus. Positive red reflex. Tympanic membrane exam deferred. Occiput posterior (OP) is clear. Moist mucous membranes. Slightly jaundiced. Nose with patent nares bilaterally. HEART: Heart rate regular without murmur. Well perfused. LUNGS: Bilateral breath sounds, clear to auscultation, equal."
OP,ova and parasites,"At this time we suggest upper endoscopy to rule out an upper GI source. She has had a colonoscopy. Unless she has OP positive stools, I am not sure she needs another one in her lifetime. 2. B12 within the normal range but in the very low to normal range."
OP,ophthalmic,"1. Hydrochlorothiazide 20 mg p.o. daily. 2. The remaining list is as per clinical records, although she did not report taking these medications, Atenolol 50 mg daily. 3. Travatan 0.004% OP solution 1 drop in left eye each day at bedtime. 4. Alphagan 0.15 % OP solution 1 drop left eye t.i.d."
OP,oropharynx,"HEENT: Normocephalic, atraumatic. The left pupil is larger than the right. Both are reactive to light. Extraocular muscles are intact. OP is clear. TMs are clear. NECK: Supple without lymphadenopathy or thyromegaly. HEART: Sounds are difficult to hear secondary to his very loud respiratory effort but appears regular."
OP,oblique presentation/occiput posterior,"The patient was admitted, placed on hands and knees to encourage rotation. The patient went on to deliver a 8-pound 1 ounce male infant in OP position over a first-degree perineal laceration which was repaired with 4-0 chromic. At that time 3 cm of soft swelling was noted in the fourchette."
OP,operative,"PROBLEM #2: Alcoholism: Excessive drinking history despite negative consequences of recurrent pancreatitis. CD was consulted. The patient was offered an inpatient assessment, but he preferred to pursue OP evaluation. The patient was not currently sort out as an imminent linger. No evidence of withdrawal currently. PROBLEM #3: Mild asthma: The patient has a history of mild asthma."
OP,outpatient,1. Establish care with an internist in the next one to two weeks. 2. To see his allergist in the next one month. 3. OP CD assessment It has been a pleasure to be a participant in the care of this patient.
OP,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
C&S,protein C and protein S,5. Cerebrovascular accident with left hemiplegia and dysphagia. She has a feeding tube. 6. History of atrial fibrillation and deep venous thrombosis on Coumadin therapy for a hypercoagulable state with a protein C&S deficiency per her old record. 7. Thalamic hemorrhage stroke. She was seen in Mayo Clinic at that time at St. Mary's Hospital. 8. History of peptic ulcer bleeding. 9. Diabetes mellitus.
C&S,conjunctivae and sclerae,"REVIEW OF SYSTEMS: GI as noted. Otherwise noncontributory. PHYSICAL EXAMINATION: A thin elderly white female in no acute distress. VITAL SIGNS: Stable. HEENT: C&S clear. Oropharynx benign. NECK: Without masses or adenopathy. Healed surgical scars. LUNGS: Clear to A&P. CARDIAC: Regular with no murmurs, rubs, or gallops."
C&S,carcinosarcoma:CaS,"CHIEF COMPLAINT: A _%#1914#%_ woman comes to the ER complaining of increasing shortness of breath, fatigue and lower extremity weakness. PAST MEDICAL HISTORY: Significant for: 1. Recently diagnosed ovarian C&S, please see HPI. She underwent a debulking procedure in _%#MM#%_. 2. History of stomach cancer status post gastrectomy and partial colectomy in 1967."
C&S,central nervous system:CNS,"EEG will be obtained looking for any evidence of underlying seizure activity. If these measures are not revealing and he does not improve, then a spinal tap would be indicated to evaluate possibility of C&S infection. Thank you very much for allowing us to participate in the care and evaluation of this very interesting gentleman."
C&S,culture and sensitivity,"Will follow with serial troponins. An echocardiogram will be ordered accordingly and also receive Tylenol p.r.n. As for his gastroesophageal reflux disease, he will receive Zantac 75 mg p.o. daily. Fasting lipids as well as UA with micro and C&S has been ordered as well. Also, I will obtain a CMP, TSH, magnesium and phosphorous level. If the patient remains stable clinically, he can be discharged home and an outpatient stress test will continue ordered for him accordingly."
PDA,patient-controlled analgesia:PCA,"At this point and time, please see orders for details. We will place her on Rocephin 2 gm every 12 hours until cultures are back as well as Solu- Medrol. PAC pump for anesthesia. Tylenol as needed. Nicoderm patch for smoking. Heating pad for comfort. Trazodone for sleep. Celexa for anxiety."
PDA,patent ductus arteriosus,"Problem #6: Hypotension. In order to maintain his systemic blood pressure and improve peripheral perfusion, _%#NAME#%_ required treatment with hydrocortisone. However, the hydrocortisone was stopped on _%#DDMM2007#%_ when he was started on neoprofen. After his PDA was ligated, he was restarted on hydrocortisone for a total of 3 additional days. Due to issues of persistent hypotension, he was restarted on IV steroids with hydrocortisone on _%#DDMM2008#%_."
PDA,posterior descending artery,"He was noted to have a diagonal 1 90% lesion, 40% narrowing in his ramus, mild luminal irregularities in his circumflex no greater than 20%, PDA 60% narrowing, 80% blockage at the posterolateral branch. LV-gram was not performed. He therefore underwent stenting of a 2.75 x 33 mm and 2.5 x 13 mm drug-eluting stent to his mid-LAD long calcified area re-establishing good flow with 0% residual stenosis."
C4,cluster of differentiation 4:CD4,"The results of the transplant renal biopsy was negative for any evidence of acute or chronic rejection, was mildly positive for a C4 positive, otherwise unremarkable. On postop day 14, patient's creatinine continued to actually improve below 2.5. In subsequent hospital days, his creatinine trended down to at the best postop level of 2.18 with good urine output."
C4,(complement) component 4,"Her CD3 which was 96, CD4 16, CD8 79, C- reactive protein 2.7, and ESR 120. Neutrophil and cytoplasmic IgG were normal. Antinuclear antibody screening was weakly positive. Complement C4 11, complement C3 44, rheumatoid factor 97, hepatitis A negative, hepatitis B negative, hepatitis C negative, LDH 667, CMV IgG antibody was positive, and influenza was negative."
C4,cervical (level) 4,"HISTORY OF PRESENT ILLNESS: Ms. _%#NAME#%_ _%#NAME#%_ is an 83-year-old right-handed woman who is postoperative day #2 for a 2-level ACDF cervical surgery secondary to severe cervical stenosis. She had decompression and fusion of the cervical spine from C4 through C5 and C5 through C6. She had worsening hyporeflexia and gait instability for the last month. She came in for this elective surgery, which was performed under general anesthesia."
C4,(PO Box) C4,"In conclusion, the patient is a 60-year-old gentleman who has symptomatic diskogenic disease, who will be a surgical candidate under the care of Dr. _%#NAME#%_. _%#NAME#%_ _%#NAME#%_, MD _%#ADDRESS#%_ _%#ADDRESS#%_ _%#STREET#%_ _%#STREET#%_ _%#STREET#%_ _%#CITY#%_, MN _%#55400#%_"
C4,fourth heart sound:S4,"Neck supple; no jugular venous distention; no thyromegaly. Lungs: Bilateral rales and rhonchi heard diffusely heard over both lungs fields. Heart: Both heart sounds are audible; no S2, C4; no murmurs or gallops. Abdomen: Slightly distended; no rebound tenderness; no guarding; no rigidity. Scars of old surgery are benign. Extremities: The patient has bilateral lower extremity edema left greater than right."
CDI,"clean, dry, intact","PHYSICAL EXAMINATION ON DISCHARGE: She is alert and oriented, in no apparent distress, non ill-appearing. Cranial nerves 2-12 are grossly intact. Her incisions, as mentioned above, are CDI. She is not complaining of any pain or other symptoms of discomfort, nausea, vomiting, dyspnea. DISCHARGE PLANNING: She is to follow with Dr. _%#NAME#%_ on _%#MM#%_ _%#DD#%_, 2005, for nasal packing removal."
CDI,center for diagnostic imaging,"PAST MEDICAL HISTORY: Negative. REVIEW OF SYSTEMS: Head, eyes, ears, nose, throat, heart, lung, abdomen, neuro, musculoskeletal, integumentary, extremities otherwise negative. FAMILY HISTORY: Maternal grandfather with colon cancer. SOCIAL HISTORY: She works full time as a tech for CDI and also starting x-ray school on _%#MMDD2004#%_. PHYSICAL EXAMINATION: GENERAL: A pleasant female in no acute distress."
CDI,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
CDI,Children's Depression Inventory,"_%#NAME#%_ reported that his mother was a t eenager when he was born. TESTS ADMINISTERED: Wechsler Intelligence Scale for Children - Fourth Edition (WISC-IV), Wechsler Individual Achievement Test - Second Edition (WAIT-II)selected subtests, The Trail Making Test, parts A and B, Controlled Word Association Test (CWAT), The Connor's Continuous Performance Test - Second Edition (CPT II), , Wisconsin Card Sorting Test (WCST), Rey Complex Figure Test (RCFT), Child Depression Inventory (CDI), Revised Children's Manifest Anxiety Scale (RCMAS), Sentence Completion Test (SCT), clinical interview, parent interview and review of previous hospital records."
DC,(drug) DC,"The patient should have a chest x-ray at the time of his followup with Dr. _%#NAME#%_ and Dr. _%#NAME#%_. MEDICATIONS AT THE TIME OF DISCHARGE: 1. Bactrim DC 1 tab p.o. b.i.d., Monday and Tuesday. 2. Zofran 8 mg p.o. q.6 h. p.r.n. nausea. 3. Peridex 1.5 mL swish and spit b.i.d."
DC,discontinue,"She is also discharged on Ringer's lactate IV at 75 cc/hr, which is a continuous infusion for 2 weeks. FOLLOW UP: 1. Instructions were given for DC IV fluids in 2 weeks and DC PICC line in 3 weeks. 2. She is asked to follow with her Southside Community Clinic for her OB visit in 1 week."
DC,District of Columbia,"If he did, it must have been a very small branch vessel, as it did not affect his electrocardiogram or echocardiogram. Discharge follow-up will be in _%#CITY#%_, _%#CITY#%_ with his family doctor. He will be leaving for _%#CITY#%_, _%#CITY#%_ pretty soon. DISCHARGE MEDICATIONS: 1. Toprol XL 25 mg p.o. once a day. 2. Aspirin 325 mg p.o. once a day."
DC,deceased donor:DD,3. Peripheral neuropathy. 4. Hypertension. 5. End-stage renal disease secondary to diabetic nephropathy. 6. Hyperthyroidism. 7. Osteoporosis. 8. History of detached retina. 9. DC stoner pancreas transplant with enteric drainage _%#MMDD#%_. 10. Status post bilateral retinal photocoagulation. 11. Status post bilateral retinal repair. 12. Status post bilateral foot surgery.
DC,direct and consensual,Her neck is supple. There are no carotid bruits. Her fundi are benign with intact visual fields to confrontation. Her pupils are equal and reactive to light DC. Eye movements are full without nystagmus. Her face appears symmetrical with equal sensation and motion bilaterally. Hearing is intact on bedside observation. Her palate and uvula elevate in the midline.
DC,discharge,"7. Bactrim DS one tab p.o. b.i.d. x5 days. 8. OxyFAST 2.5 to 5 mg p.o. q.6h. p.r.n. DISPOSITION: 1. The patient will follow up with TCU MD upon arrival. 2. She will follow up with her PMD, Dr. _%#NAME#%_, upon DC from rehab. 3. BNP, TSH, free T4 will be rechecked in one week with results to TCU MD or patient's care MD for follow-up."
DC,(diltiazem) DC,"At one point, the patient had E. coli sepsis which was treated with intravenous antibiotics. The patient ultimately improved the point where we could transfer her to a nursing facility. DISCHARGE MEDICATIONS: 1. Atenolol 25 mg daily for blood pressure. 2. Diltiazem DC 180b mg daily for blood pressure. 3. Lexapro 20 mg daily for depression. 4. Lorazepam 0.5 mg t.i.d. p.r.n. for anxiety."
DC,direct current,"The patient had coronary angiography on _%#MM#%_ _%#DD#%_, 2003, which revealed normal coronaries. The patient gives a history of ablation of atrial flutter in 2000 and he also gives a history of DC cardioversion of his episodes of atrial fibrillation, which have not been successful. The patient has been on chronic amiodarone. The patient was admitted to the hospital for ablation of atrial fibrillation."
PD,prism diopter,"On muscle balance testing in primary gaze at distance, I measured a 4 PD esotropia combined with a 3 PD right hypotropia. At near we measured a 5 PD esotropia. Her slit lamp examination was normal as was her funduscopic examination. Cycloplegic retinoscopy was +1.00 +2.50 x 120 in the right eye and +2.75 + 1.50 x 43 on the left."
PD,pancreatic duct,"The common bile duct was freely cannulated and was slightly dilated at 10 to 12 mm. There were no definite stones. Sphincterotomy and two balloon sweeps were done with no stones identified. The PD was not entered. On the day of discharge, his total bilirubin had fallen to 2.5, ALT 140, AST 51. He felt well, was eating OK and denied abdominal pain."
PD,dorsalis pedis:DP,"ABDOMEN: Soft, nontender, nondistended, normal active bowel sounds. Liver percusses to the costal margin. Spleen not palpable. EXTREMITIES: Warm, no cyanosis, clubbing or edema. 2 DT pulses bilaterally. LABORATORY DATA: Pending. IMAGING: Chest x-ray pending."
PD,Parkinson disease,"DISCHARGE DIAGNOSES: 1. Bilateral lower extremity contracture and rigidity, most likely secondary to Parkinson disease. 2. Left upper extremity contracture, most likely secondary to Parkinson disease. 3. Hallucinations related to PD and/or medications Discharged to home. HISTORY OF PRESENT ILLNESS: Ms. _%#NAME#%_ is a 74-year-old right-handed female with a diagnosis of Parkinson disease since 2005."
PD,patent ductus,"1. Small for gestational age, intubated after delivery secondary to respiratory distress, had multiple dysmorphic features noted at birth. 2. History of TE fistula status post repair and esophageal atresia, status post repair with PD ligation in _%#DDMM2000#%_. 3. Choanal atresia repair, Nissen and G-tube placement in _%#DDMM2000#%_. 4. Status post cleft lip and palate repair in _%#DDMM2000#%_."
PD,(device) PD,"7. Doxycycline 100 mg p.o. b.i.d. 8. Vitamin K 5 mg p.o. every week. 9. Multivitamins 1 tablet p.o. q.d. 10. Vitamin ADEKs 2 tablets p.o. q.d. 11. Albuterol MDI 2 puffs p.r.n. 12. PD vest b.i.d. SOCIAL HISTORY: No tobacco, quit alcohol _%#DDMM2001#%_, and no IV drug use."
PD,phosphate dehydrogenase,"3. Maintenance intravenous fluids if can obtain intravenous access 4. Breast feed and formula feed ad lib 5. Intake and output 6. Daily weights 7. Check bili, CBC, reticulocyte, peripheral smear and G6 PD deficiency with 1600 labs 8. Recheck bili in the a.m. 9. Await All About Children's rounder in the a.m."
PD,police department,"She denies hearing the phone every ringing. Upon arrival of the PD and paramedics, they noted that the house smelled strongly of urine and stool. The PD felt that the house was unsuitable for living had had contacted environmental services. They had found that the patient had been urinating in milk cartons and had been using bowel movements in a crock pot as her toilet was not functioning appropriately."
PD,peritoneal dialysis,HISTORY OF PRESENT ILLNESS: _%#NAME#%_ is a now 26-month-old male who was admitted to the hospital initially with a bloody emesis and subsequently found to have hepatorenal dysplasia of unknown etiology. His end-stage renal disease was PD dependent and was transferred to HD and also has chronic lung disease and is ventilator dependent with the tracheostomy.
PD,personality disorder,"6. Suspected CVA (1996) with slurred speech, TIA (left-sided hemiparesis) _%#DDMM2007#%_. 7. Acute head injury on 2 occasions: 2005 and another unknown date. 8. Psychiatric history (GAD, PTSD, PD, ADHD, personality disorder NOS, major depressive disorder, meth dependency, borderline personality disorder, and antisocial personality disorder). PAST SURGICAL HISTORY: 1. Hysterectomy. 2. Nephrectomy (left). 3. Gastrectomy (secondary to gastric ulcers)."
